variable,code,description,source,confidence
asset_parameter_type,662,,Unresolved,
asset_parameter_type,663,CSC (Common Service Centre),Derived,medium
asset_parameter_type,664,Night Shelter,Derived,medium
asset_parameter_type,666,,Unresolved,
asset_parameter_type,668,,Unresolved,
asset_parameter_type,671,,Unresolved,
asset_parameter_type,673,Godown and Stores,Derived,medium
asset_parameter_type,674,,Unresolved,
asset_parameter_type,675,,Unresolved,
asset_parameter_type,681,Overhead Tank,Derived,high
asset_parameter_type,683,Hand pump,Derived,high
asset_parameter_type,684,Tourist places,Derived,medium
asset_parameter_type,685,Cinema / Video hall,Derived,medium
asset_parameter_type,686,Garbage Disposal Sites,Derived,medium
asset_parameter_type,688,Women and Child Centres,Derived,medium
asset_parameter_type,694,,Unresolved,
asset_parameter_type,697,Bathing Ghat,Derived,medium
asset_parameter_type,698,Other Public / Social Service Centre,Derived,high
asset_parameter_type,699,Bathroom,Derived,medium
asset_parameter_type,702,Gram Sachivalaya,Derived,high
asset_parameter_type,703,Pavement,Derived,high
asset_parameter_type,705,,Unresolved,
asset_parameter_type,706,,Unresolved,
asset_parameter_type,707,,Unresolved,
asset_parameter_type,708,,Unresolved,
asset_parameter_type,709,Garbage Transportation,Derived,medium
asset_parameter_type,710,,Unresolved,
asset_parameter_type,711,,Unresolved,
asset_parameter_type,712,Sanitation Tools,Derived,high
asset_parameter_type,716,,Unresolved,
asset_parameter_type,717,,Unresolved,
asset_parameter_type,718,,Unresolved,
asset_parameter_type,719,,Unresolved,
asset_parameter_type,721,Electrification,Derived,medium
asset_parameter_type,722,Building Electrification,Derived,high
asset_parameter_type,723,,Unresolved,
asset_parameter_type,725,Community Sanitation Complex (CSC),Derived,medium
asset_parameter_type,726,,Unresolved,
asset_parameter_type,728,Community Compost Pits,Derived,high
asset_parameter_type,729,Individual Compost Pits,Derived,medium
asset_parameter_type,730,Community Bio Gas plant,Derived,medium
asset_parameter_type,731,Push carts-Vehicles for Collection and Transportation,Derived,high
asset_parameter_type,732,Tractors-Vehicles for Collection and Transportation,Derived,medium
asset_parameter_type,733,Battery operated-Vehicles for Collection and Transportation,Derived,high
asset_parameter_type,734,Vehicles for Collection and Transportation (Others),Derived,high
asset_parameter_type,735,Plastic Waste Management Centre,Derived,medium
asset_parameter_type,736,,Unresolved,
asset_parameter_type,745,Menstrual Waste Decomposer e.g. Incinerator,Derived,medium
asset_parameter_type,746,Individual Household Latrine (IHHL),Derived,high
asset_parameter_type,747,Community Sanitation Complex (CSC),Derived,high
asset_parameter_type,748,Institutional Toilet,Derived,high
asset_parameter_type,754,Plastic Waste Storage Unit,Derived,high
asset_parameter_type,758,,Unresolved,
asset_parameter_type,759,Constructed Wet Lands,Derived,medium
asset_parameter_type,760,Drainage channel,Derived,high
asset_parameter_type,761,,Unresolved,
asset_parameter_type,762,,Unresolved,
asset_parameter_type,763,Individual soak pit,Derived,medium
asset_parameter_type,764,Community soak pit,Derived,high
asset_parameter_type,765,,Unresolved,
asset_parameter_type,767,,Unresolved,
asset_parameter_type,769,,Unresolved,
asset_parameter_type,772,,Unresolved,
asset_parameter_type,773,Soak Pit,Derived,medium
asset_parameter_type,777,Drainage channel for multiple villages,Derived,medium
asset_parameter_type,787,Drainage channel for multiple villages,Derived,medium
asset_parameter_type,788,Multi village/Block Plastic Waste Management Unit (PWMU),Derived,medium
asset_parameter_type,789,Medical Consumables,Derived,medium
asset_parameter_type,790,Amrit Sarovar,Derived,medium
asset_parameter_type,791,Tap connections,Derived,high
asset_parameter_type,792,Pumphouse,Derived,high
asset_parameter_type,793,Overhead tank,Derived,high
asset_parameter_type,795,Water treatment plant,Derived,high
asset_parameter_type,796,Groundwater source borewell,Derived,medium
asset_parameter_type,797,Motor pump,Derived,high
asset_parameter_type,798,Solar panel,Derived,medium
asset_parameter_type,799,Additional borewell,Derived,high
asset_parameter_type,800,Additional surface water source,Derived,high
asset_parameter_type,802,Groundwater source Tubewell,Derived,high
asset_parameter_type,803,Pond,Derived,medium
asset_parameter_type,804,,Unresolved,
asset_parameter_type,805,Spring source,Derived,medium
asset_parameter_type,806,Tap connection to the school,Derived,medium
asset_parameter_type,807,Tap connection to Anganwadi centres,Derived,medium
asset_parameter_type,808,Tap connection to Panchayat office,Derived,medium
asset_parameter_type,809,Tap connection to other public institutional building,Derived,medium
asset_parameter_type,810,,Unresolved,
asset_parameter_type,811,Construction of Pond,Derived,medium
asset_parameter_type,812,,Unresolved,
asset_parameter_type,813,,Unresolved,
asset_parameter_type,814,,Unresolved,
asset_parameter_type,815,Construction of conveyance structure,Derived,medium
asset_parameter_type,816,Individual soak pit,Derived,high
asset_parameter_type,817,,Unresolved,
asset_parameter_type,820,,Unresolved,
asset_parameter_type,822,Waste collection and segregation sheds in the village,Derived,high
asset_parameter_type,823,Segregation Bins at Community places in the village,Derived,medium
asset_parameter_type,826,Aanganwadi,Derived,high
