voucher_pk,gp_lgd_code,fiscal_year,voucher_no,voucher_id,direction,type,date,month,amount
1,119598,2025-2026,XVFC/2025-26/R/1,27616,receipt,Refund of Excess Payment,2025-07-18,July,3000.0
2,119598,2025-2026,XVFC/2025-26/R/2,59670,receipt,Reverse Receipt -PFMS,2025-08-31,August,488095.0
3,119598,2025-2026,XVFC/2025-26/R/3,93058,receipt,Reverse Receipt -PFMS,2025-11-30,November,488094.0
4,119598,2025-2026,XVFC/2025-26/R/4,93066,receipt,Reverse Receipt -PFMS,2025-11-30,November,732140.0
5,119598,2025-2026,5THSFC/2025-26/R/1,119326,receipt,Direct Receipts,2025-12-17,December,15008.0
6,119598,2025-2026,5THSFC/2025-26/R/2,119335,receipt,Direct Receipts,2025-12-17,December,64020.0
7,119598,2025-2026,5THSFC/2025-26/R/3,119339,receipt,Direct Receipts,2025-12-17,December,11235.0
8,119598,2025-2026,5THSFC/2025-26/R/4,119343,receipt,Direct Receipts,2025-12-17,December,493285.0
9,119598,2025-2026,5THSFC/2025-26/R/5,119349,receipt,Direct Receipts,2025-12-17,December,64020.0
10,119598,2025-2026,5THSFC/2025-26/R/6,119352,receipt,Direct Receipts,2025-12-17,December,5000.0
11,119598,2025-2026,5THSFC/2025-26/R/7,119358,receipt,Direct Receipts,2025-12-17,December,11341.0
12,119598,2025-2026,XVFC/2025-26/R/5,119559,receipt,Direct Receipts,2025-12-31,December,73669.0
13,119598,2025-2026,5THSFC/2025-26/R/10,148602,receipt,Direct Receipts,2026-03-07,March,44040.0
14,119598,2025-2026,5THSFC/2025-26/R/8,148593,receipt,Direct Receipts,2026-03-07,March,493285.0
15,119598,2025-2026,5THSFC/2025-26/R/9,148598,receipt,Direct Receipts,2026-03-07,March,84000.0
16,119598,2025-2026,XVFC/2025-26/R/6,167035,receipt,Reverse Receipt -PFMS,2026-03-21,March,732140.0
17,119598,2025-2026,5THSFC/2025-26/R/11,176810,receipt,Direct Receipts,2026-03-30,March,958040.0
18,119598,2025-2026,HY/2025-26/R/1,275974,receipt,Direct Receipts,2026-03-30,March,642.0
19,119598,2025-2026,NOAPS/2025-26/R/1,275971,receipt,Direct Receipts,2026-03-30,March,99525.0
20,119598,2025-2026,OWN/2025-26/R/1,276001,receipt,Direct Receipts,2026-03-30,March,335772.0
21,119598,2025-2026,5THSFC/2025-26/R/12,276151,receipt,Direct Receipts,2026-03-31,March,9806.0
22,119598,2025-2026,XVFC/2025-26/R/7,276163,receipt,Direct Receipts,2026-03-31,March,77201.0
23,119598,2025-2026,5THSFC/2025-26/P/1,55606,payment,Expenditures,2025-05-28,May,312099.0
24,119598,2025-2026,5THSFC/2025-26/P/2,55610,payment,Expenditures,2025-05-28,May,3244.0
25,119598,2025-2026,5THSFC/2025-26/P/3,55612,payment,Expenditures,2025-05-28,May,3225.0
26,119598,2025-2026,XVFC/2025-26/P/1,55637,payment,Expenditures,2025-05-28,May,160000.0
27,119598,2025-2026,XVFC/2025-26/P/2,55641,payment,Expenditures,2025-05-28,May,7533.0
28,119598,2025-2026,XVFC/2025-26/P/3,55643,payment,Expenditures,2025-05-28,May,2000.0
29,119598,2025-2026,5THSFC/2025-26/P/4,55653,payment,Expenditures,2025-05-29,May,21723.0
30,119598,2025-2026,5THSFC/2025-26/P/5,55654,payment,Expenditures,2025-05-29,May,15126.0
31,119598,2025-2026,XVFC/2025-26/P/4,55644,payment,Expenditures,2025-05-29,May,170000.0
32,119598,2025-2026,XVFC/2025-26/P/5,55645,payment,Expenditures,2025-05-29,May,2246.0
33,119598,2025-2026,XVFC/2025-26/P/6,55646,payment,Expenditures,2025-05-29,May,2000.0
34,119598,2025-2026,XVFC/2025-26/P/7,55647,payment,Expenditures,2025-05-29,May,372319.0
35,119598,2025-2026,XVFC/2025-26/P/8,55649,payment,Expenditures,2025-05-29,May,17561.0
36,119598,2025-2026,XVFC/2025-26/P/9,55651,payment,Expenditures,2025-05-29,May,4000.0
37,119598,2025-2026,XVFC/2025-26/P/10,63950,payment,Expenditures,2025-06-02,June,23277.0
38,119598,2025-2026,XVFC/2025-26/P/11,63979,payment,Expenditures,2025-06-02,June,27031.0
39,119598,2025-2026,XVFC/2025-26/P/12,64001,payment,Expenditures,2025-06-02,June,26000.0
40,119598,2025-2026,XVFC/2025-26/P/13,140175,payment,Expenditures,2025-07-15,July,3000.0
41,119598,2025-2026,XVFC/2025-26/P/14,140189,payment,Expenditures,2025-07-15,July,2.51
42,119598,2025-2026,XVFC/2025-26/P/15,140195,payment,Expenditures,2025-07-15,July,35.0
43,119598,2025-2026,XVFC/2025-26/P/16,140208,payment,Expenditures,2025-07-15,July,3000.0
44,119598,2025-2026,XVFC/2025-26/P/17,140249,payment,Expenditures,2025-07-15,July,2.51
45,119598,2025-2026,XVFC/2025-26/P/18,140254,payment,Expenditures,2025-07-15,July,35.0
46,119598,2025-2026,XVFC/2025-26/P/19,140261,payment,Expenditures,2025-07-15,July,3000.0
47,119598,2025-2026,XVFC/2025-26/P/20,140265,payment,Expenditures,2025-07-15,July,2.51
48,119598,2025-2026,XVFC/2025-26/P/21,140267,payment,Expenditures,2025-07-15,July,35.0
49,119598,2025-2026,XVFC/2025-26/P/22,140271,payment,Expenditures,2025-07-15,July,3000.0
50,119598,2025-2026,XVFC/2025-26/P/23,140274,payment,Expenditures,2025-07-15,July,2.51
51,119598,2025-2026,XVFC/2025-26/P/24,140277,payment,Expenditures,2025-07-15,July,35.0
52,119598,2025-2026,XVFC/2025-26/P/25,140282,payment,Expenditures,2025-07-15,July,3000.0
53,119598,2025-2026,XVFC/2025-26/P/26,140285,payment,Expenditures,2025-07-15,July,2.51
54,119598,2025-2026,XVFC/2025-26/P/27,140289,payment,Expenditures,2025-07-15,July,35.0
55,119598,2025-2026,XVFC/2025-26/P/28,140422,payment,Expenditures,2025-07-15,July,3000.0
56,119598,2025-2026,XVFC/2025-26/P/29,140433,payment,Expenditures,2025-07-15,July,2.51
57,119598,2025-2026,XVFC/2025-26/P/30,140445,payment,Expenditures,2025-07-15,July,35.0
58,119598,2025-2026,XVFC/2025-26/P/31,140484,payment,Expenditures,2025-07-15,July,3000.0
59,119598,2025-2026,XVFC/2025-26/P/32,140489,payment,Expenditures,2025-07-15,July,2.51
60,119598,2025-2026,XVFC/2025-26/P/33,140498,payment,Expenditures,2025-07-15,July,35.0
61,119598,2025-2026,XVFC/2025-26/P/34,140510,payment,Expenditures,2025-07-15,July,3000.0
62,119598,2025-2026,XVFC/2025-26/P/35,140518,payment,Expenditures,2025-07-15,July,2.51
63,119598,2025-2026,XVFC/2025-26/P/36,140527,payment,Expenditures,2025-07-15,July,35.0
64,119598,2025-2026,XVFC/2025-26/P/37,141122,payment,Expenditures,2025-07-15,July,3000.0
65,119598,2025-2026,XVFC/2025-26/P/38,141124,payment,Expenditures,2025-07-15,July,2.51
66,119598,2025-2026,XVFC/2025-26/P/39,141127,payment,Expenditures,2025-07-15,July,35.0
67,119598,2025-2026,XVFC/2025-26/P/40,141129,payment,Expenditures,2025-07-15,July,3000.0
68,119598,2025-2026,XVFC/2025-26/P/41,141131,payment,Expenditures,2025-07-15,July,2.51
69,119598,2025-2026,XVFC/2025-26/P/42,141132,payment,Expenditures,2025-07-15,July,35.0
70,119598,2025-2026,XVFC/2025-26/P/43,141133,payment,Expenditures,2025-07-15,July,3000.0
71,119598,2025-2026,XVFC/2025-26/P/44,141134,payment,Expenditures,2025-07-15,July,2.51
72,119598,2025-2026,XVFC/2025-26/P/45,141137,payment,Expenditures,2025-07-15,July,35.0
73,119598,2025-2026,XVFC/2025-26/P/46,141140,payment,Expenditures,2025-07-15,July,3000.0
74,119598,2025-2026,XVFC/2025-26/P/47,141141,payment,Expenditures,2025-07-15,July,2.51
75,119598,2025-2026,XVFC/2025-26/P/48,141146,payment,Expenditures,2025-07-15,July,35.0
76,119598,2025-2026,XVFC/2025-26/P/49,141147,payment,Expenditures,2025-07-15,July,3000.0
77,119598,2025-2026,XVFC/2025-26/P/50,141149,payment,Expenditures,2025-07-15,July,2.51
78,119598,2025-2026,XVFC/2025-26/P/51,141152,payment,Expenditures,2025-07-15,July,35.0
79,119598,2025-2026,XVFC/2025-26/P/52,141154,payment,Expenditures,2025-07-15,July,3000.0
80,119598,2025-2026,XVFC/2025-26/P/53,141156,payment,Expenditures,2025-07-15,July,2.51
81,119598,2025-2026,XVFC/2025-26/P/54,141159,payment,Expenditures,2025-07-15,July,35.0
82,119598,2025-2026,XVFC/2025-26/P/55,141162,payment,Expenditures,2025-07-15,July,3000.0
83,119598,2025-2026,XVFC/2025-26/P/56,141166,payment,Expenditures,2025-07-15,July,2.51
84,119598,2025-2026,XVFC/2025-26/P/57,141169,payment,Expenditures,2025-07-15,July,35.0
85,119598,2025-2026,XVFC/2025-26/P/58,141170,payment,Expenditures,2025-07-15,July,3000.0
86,119598,2025-2026,XVFC/2025-26/P/59,141172,payment,Expenditures,2025-07-15,July,2.51
87,119598,2025-2026,XVFC/2025-26/P/60,141174,payment,Expenditures,2025-07-15,July,35.0
88,119598,2025-2026,XVFC/2025-26/P/61,141176,payment,Expenditures,2025-07-15,July,3000.0
89,119598,2025-2026,XVFC/2025-26/P/62,141179,payment,Expenditures,2025-07-15,July,2.51
90,119598,2025-2026,XVFC/2025-26/P/63,141181,payment,Expenditures,2025-07-15,July,35.0
91,119598,2025-2026,XVFC/2025-26/P/64,141182,payment,Expenditures,2025-07-15,July,3000.0
92,119598,2025-2026,XVFC/2025-26/P/65,141185,payment,Expenditures,2025-07-15,July,2.51
93,119598,2025-2026,XVFC/2025-26/P/66,141188,payment,Expenditures,2025-07-15,July,35.0
94,119598,2025-2026,XVFC/2025-26/P/67,141189,payment,Expenditures,2025-07-15,July,3000.0
95,119598,2025-2026,XVFC/2025-26/P/68,141192,payment,Expenditures,2025-07-15,July,2.51
96,119598,2025-2026,XVFC/2025-26/P/69,141195,payment,Expenditures,2025-07-15,July,35.0
97,119598,2025-2026,XVFC/2025-26/P/70,141197,payment,Expenditures,2025-07-15,July,3000.0
98,119598,2025-2026,XVFC/2025-26/P/71,141199,payment,Expenditures,2025-07-15,July,2.51
99,119598,2025-2026,XVFC/2025-26/P/72,141203,payment,Expenditures,2025-07-15,July,35.0
100,119598,2025-2026,XVFC/2025-26/P/100,143218,payment,Expenditures,2025-07-16,July,3000.0
101,119598,2025-2026,XVFC/2025-26/P/101,143222,payment,Expenditures,2025-07-16,July,2.51
102,119598,2025-2026,XVFC/2025-26/P/102,143224,payment,Expenditures,2025-07-16,July,35.0
103,119598,2025-2026,XVFC/2025-26/P/104,143230,payment,Expenditures,2025-07-16,July,3000.0
104,119598,2025-2026,XVFC/2025-26/P/105,143231,payment,Expenditures,2025-07-16,July,2.51
105,119598,2025-2026,XVFC/2025-26/P/106,143234,payment,Expenditures,2025-07-16,July,35.0
106,119598,2025-2026,XVFC/2025-26/P/73,141572,payment,Expenditures,2025-07-16,July,3000.0
107,119598,2025-2026,XVFC/2025-26/P/74,141579,payment,Expenditures,2025-07-16,July,2.51
108,119598,2025-2026,XVFC/2025-26/P/75,141585,payment,Expenditures,2025-07-16,July,35.0
109,119598,2025-2026,XVFC/2025-26/P/76,141599,payment,Expenditures,2025-07-16,July,3000.0
110,119598,2025-2026,XVFC/2025-26/P/77,141611,payment,Expenditures,2025-07-16,July,2.51
111,119598,2025-2026,XVFC/2025-26/P/78,141621,payment,Expenditures,2025-07-16,July,35.0
112,119598,2025-2026,XVFC/2025-26/P/79,141630,payment,Expenditures,2025-07-16,July,3000.0
113,119598,2025-2026,XVFC/2025-26/P/80,141642,payment,Expenditures,2025-07-16,July,2.51
114,119598,2025-2026,XVFC/2025-26/P/81,141654,payment,Expenditures,2025-07-16,July,35.0
115,119598,2025-2026,XVFC/2025-26/P/82,141666,payment,Expenditures,2025-07-16,July,3000.0
116,119598,2025-2026,XVFC/2025-26/P/83,141683,payment,Expenditures,2025-07-16,July,2.51
117,119598,2025-2026,XVFC/2025-26/P/84,141694,payment,Expenditures,2025-07-16,July,35.0
118,119598,2025-2026,XVFC/2025-26/P/85,143172,payment,Expenditures,2025-07-16,July,3000.0
119,119598,2025-2026,XVFC/2025-26/P/86,143173,payment,Expenditures,2025-07-16,July,2.51
120,119598,2025-2026,XVFC/2025-26/P/87,143174,payment,Expenditures,2025-07-16,July,35.0
121,119598,2025-2026,XVFC/2025-26/P/88,143177,payment,Expenditures,2025-07-16,July,3000.0
122,119598,2025-2026,XVFC/2025-26/P/89,143180,payment,Expenditures,2025-07-16,July,2.51
123,119598,2025-2026,XVFC/2025-26/P/90,143186,payment,Expenditures,2025-07-16,July,35.0
124,119598,2025-2026,XVFC/2025-26/P/91,143188,payment,Expenditures,2025-07-16,July,3000.0
125,119598,2025-2026,XVFC/2025-26/P/92,143191,payment,Expenditures,2025-07-16,July,2.51
126,119598,2025-2026,XVFC/2025-26/P/93,143194,payment,Expenditures,2025-07-16,July,35.0
127,119598,2025-2026,XVFC/2025-26/P/94,143199,payment,Expenditures,2025-07-16,July,3000.0
128,119598,2025-2026,XVFC/2025-26/P/95,143204,payment,Expenditures,2025-07-16,July,2.51
129,119598,2025-2026,XVFC/2025-26/P/96,143206,payment,Expenditures,2025-07-16,July,35.0
130,119598,2025-2026,XVFC/2025-26/P/97,143208,payment,Expenditures,2025-07-16,July,3000.0
131,119598,2025-2026,XVFC/2025-26/P/98,143212,payment,Expenditures,2025-07-16,July,2.51
132,119598,2025-2026,XVFC/2025-26/P/99,143216,payment,Expenditures,2025-07-16,July,35.0
133,119598,2025-2026,5THSFC/2025-26/P/10,143768,payment,Expenditures,2025-07-17,July,7852.0
134,119598,2025-2026,5THSFC/2025-26/P/11,143774,payment,Expenditures,2025-07-17,July,9187.0
135,119598,2025-2026,5THSFC/2025-26/P/6,143621,payment,Expenditures,2025-07-17,July,210000.0
136,119598,2025-2026,5THSFC/2025-26/P/7,143626,payment,Expenditures,2025-07-17,July,48.0
137,119598,2025-2026,5THSFC/2025-26/P/8,143651,payment,Expenditures,2025-07-17,July,14952.0
138,119598,2025-2026,5THSFC/2025-26/P/9,143760,payment,Expenditures,2025-07-17,July,12798.0
139,119598,2025-2026,XVFC/2025-26/P/107,143633,payment,Expenditures,2025-07-17,July,50000.0
140,119598,2025-2026,5THSFC/2025-26/P/12,158960,payment,Expenditures,2025-07-26,July,21021.0
141,119598,2025-2026,5THSFC/2025-26/P/13,158962,payment,Expenditures,2025-07-26,July,2400.0
142,119598,2025-2026,XVFC/2025-26/P/108,158855,payment,Expenditures,2025-07-26,July,427.0
143,119598,2025-2026,XVFC/2025-26/P/109,158858,payment,Expenditures,2025-07-26,July,427.0
144,119598,2025-2026,XVFC/2025-26/P/110,158859,payment,Expenditures,2025-07-26,July,427.0
145,119598,2025-2026,XVFC/2025-26/P/111,158864,payment,Expenditures,2025-07-26,July,427.0
146,119598,2025-2026,XVFC/2025-26/P/112,158867,payment,Expenditures,2025-07-26,July,427.0
147,119598,2025-2026,XVFC/2025-26/P/113,158873,payment,Expenditures,2025-07-26,July,427.0
148,119598,2025-2026,XVFC/2025-26/P/114,158877,payment,Expenditures,2025-07-26,July,427.0
149,119598,2025-2026,XVFC/2025-26/P/115,158879,payment,Expenditures,2025-07-26,July,427.0
150,119598,2025-2026,XVFC/2025-26/P/116,158883,payment,Expenditures,2025-07-26,July,427.0
151,119598,2025-2026,XVFC/2025-26/P/117,158885,payment,Expenditures,2025-07-26,July,427.0
152,119598,2025-2026,XVFC/2025-26/P/118,158904,payment,Expenditures,2025-07-26,July,427.0
153,119598,2025-2026,XVFC/2025-26/P/119,158907,payment,Expenditures,2025-07-26,July,427.0
154,119598,2025-2026,XVFC/2025-26/P/120,158909,payment,Expenditures,2025-07-26,July,427.0
155,119598,2025-2026,XVFC/2025-26/P/121,158911,payment,Expenditures,2025-07-26,July,427.0
156,119598,2025-2026,XVFC/2025-26/P/122,158912,payment,Expenditures,2025-07-26,July,427.0
157,119598,2025-2026,XVFC/2025-26/P/123,158914,payment,Expenditures,2025-07-26,July,427.0
158,119598,2025-2026,XVFC/2025-26/P/124,158916,payment,Expenditures,2025-07-26,July,427.0
159,119598,2025-2026,XVFC/2025-26/P/125,158918,payment,Expenditures,2025-07-26,July,427.0
160,119598,2025-2026,XVFC/2025-26/P/126,158920,payment,Expenditures,2025-07-26,July,427.0
161,119598,2025-2026,XVFC/2025-26/P/127,158921,payment,Expenditures,2025-07-26,July,427.0
162,119598,2025-2026,XVFC/2025-26/P/128,158925,payment,Expenditures,2025-07-26,July,427.0
163,119598,2025-2026,XVFC/2025-26/P/129,158927,payment,Expenditures,2025-07-26,July,3000.0
164,119598,2025-2026,XVFC/2025-26/P/130,158930,payment,Expenditures,2025-07-26,July,427.0
165,119598,2025-2026,XVFC/2025-26/P/131,158931,payment,Expenditures,2025-07-26,July,427.0
166,119598,2025-2026,XVFC/2025-26/P/132,158933,payment,Expenditures,2025-07-26,July,427.0
167,119598,2025-2026,XVFC/2025-26/P/133,158937,payment,Expenditures,2025-07-26,July,427.0
168,119598,2025-2026,XVFC/2025-26/P/134,158938,payment,Expenditures,2025-07-26,July,427.0
169,119598,2025-2026,XVFC/2025-26/P/135,158941,payment,Expenditures,2025-07-26,July,427.0
170,119598,2025-2026,XVFC/2025-26/P/136,158943,payment,Expenditures,2025-07-26,July,427.0
171,119598,2025-2026,XVFC/2025-26/P/137,158946,payment,Expenditures,2025-07-26,July,427.0
172,119598,2025-2026,XVFC/2025-26/P/138,158948,payment,Expenditures,2025-07-26,July,427.0
173,119598,2025-2026,XVFC/2025-26/P/139,158950,payment,Expenditures,2025-07-26,July,427.0
174,119598,2025-2026,5THSFC/2025-26/P/14,320369,payment,Expenditures,2025-10-25,October,108124.0
175,119598,2025-2026,5THSFC/2025-26/P/15,320374,payment,Expenditures,2025-10-25,October,35905.0
176,119598,2025-2026,5THSFC/2025-26/P/16,320378,payment,Expenditures,2025-10-25,October,46002.0
177,119598,2025-2026,5THSFC/2025-26/P/17,332650,payment,Expenditures,2025-10-31,October,75000.0
178,119598,2025-2026,5THSFC/2025-26/P/18,332659,payment,Expenditures,2025-10-31,October,3317.0
179,119598,2025-2026,5THSFC/2025-26/P/19,332670,payment,Expenditures,2025-10-31,October,1000.0
180,119598,2025-2026,5THSFC/2025-26/P/20,332714,payment,Expenditures,2025-10-31,October,126000.0
181,119598,2025-2026,5THSFC/2025-26/P/21,332727,payment,Expenditures,2025-10-31,October,78.0
182,119598,2025-2026,5THSFC/2025-26/P/22,332735,payment,Expenditures,2025-10-31,October,1500.0
183,119598,2025-2026,XVFC/2025-26/P/140,332854,payment,Expenditures,2025-10-31,October,200000.0
184,119598,2025-2026,XVFC/2025-26/P/141,332865,payment,Expenditures,2025-10-31,October,1226.0
185,119598,2025-2026,XVFC/2025-26/P/142,332877,payment,Expenditures,2025-10-31,October,2340.0
186,119598,2025-2026,XVFC/2025-26/P/143,335005,payment,Expenditures,2025-10-31,October,150000.0
187,119598,2025-2026,XVFC/2025-26/P/144,335011,payment,Expenditures,2025-10-31,October,205.0
188,119598,2025-2026,XVFC/2025-26/P/145,335020,payment,Expenditures,2025-10-31,October,1772.0
189,119598,2025-2026,XVFC/2025-26/P/146,335053,payment,Expenditures,2025-10-31,October,52000.0
190,119598,2025-2026,5THSFC/2025-26/P/23,350535,payment,Expenditures,2025-11-11,November,20793.0
191,119598,2025-2026,5THSFC/2025-26/P/24,350562,payment,Expenditures,2025-11-11,November,19188.0
192,119598,2025-2026,XVFC/2025-26/P/147,350397,payment,Expenditures,2025-11-11,November,26919.0
193,119598,2025-2026,XVFC/2025-26/P/148,350586,payment,Expenditures,2025-11-11,November,27550.0
194,119598,2025-2026,5THSFC/2025-26/P/25,403130,payment,Expenditures,2025-12-08,December,40952.0
195,119598,2025-2026,XVFC/2025-26/P/149,403231,payment,Expenditures,2025-12-08,December,2500.0
196,119598,2025-2026,XVFC/2025-26/P/150,403259,payment,Expenditures,2025-12-08,December,36500.0
197,119598,2025-2026,XVFC/2025-26/P/151,408192,payment,Expenditures,2025-12-10,December,160000.0
198,119598,2025-2026,5THSFC/2025-26/P/26,410646,payment,Expenditures,2025-12-11,December,49543.0
199,119598,2025-2026,5THSFC/2025-26/P/27,410665,payment,Expenditures,2025-12-11,December,19613.0
200,119598,2025-2026,5THSFC/2025-26/P/28,410683,payment,Expenditures,2025-12-11,December,20869.0
201,119598,2025-2026,XVFC/2025-26/P/152,416568,payment,Expenditures,2025-12-15,December,20000.0
202,119598,2025-2026,XVFC/2025-26/P/153,417130,payment,Expenditures,2025-12-15,December,5900.0
203,119598,2025-2026,5THSFC/2025-26/P/29,480788,payment,Expenditures,2026-01-14,January,48254.0
204,119598,2025-2026,5THSFC/2025-26/P/30,567350,payment,Expenditures,2026-02-20,February,80000.0
205,119598,2025-2026,5THSFC/2025-26/P/31,567352,payment,Expenditures,2026-02-20,February,4555.0
206,119598,2025-2026,5THSFC/2025-26/P/32,567357,payment,Expenditures,2026-02-20,February,1000.0
207,119598,2025-2026,5THSFC/2025-26/P/33,567362,payment,Expenditures,2026-02-20,February,20000.0
208,119598,2025-2026,XVFC/2025-26/P/154,565514,payment,Expenditures,2026-02-20,February,80000.0
209,119598,2025-2026,XVFC/2025-26/P/155,567263,payment,Expenditures,2026-02-20,February,4506.0
210,119598,2025-2026,XVFC/2025-26/P/156,567267,payment,Expenditures,2026-02-20,February,1000.0
211,119598,2025-2026,XVFC/2025-26/P/157,567272,payment,Expenditures,2026-02-20,February,120000.0
212,119598,2025-2026,XVFC/2025-26/P/158,567276,payment,Expenditures,2026-02-20,February,6730.0
213,119598,2025-2026,XVFC/2025-26/P/159,567280,payment,Expenditures,2026-02-20,February,1500.0
214,119598,2025-2026,5THSFC/2025-26/P/34,567511,payment,Expenditures,2026-02-21,February,160000.0
215,119598,2025-2026,5THSFC/2025-26/P/35,567515,payment,Expenditures,2026-02-21,February,9177.0
216,119598,2025-2026,5THSFC/2025-26/P/36,567520,payment,Expenditures,2026-02-21,February,2000.0
217,119598,2025-2026,5THSFC/2025-26/P/37,567528,payment,Expenditures,2026-02-21,February,120000.0
218,119598,2025-2026,5THSFC/2025-26/P/38,567534,payment,Expenditures,2026-02-21,February,6730.0
219,119598,2025-2026,5THSFC/2025-26/P/39,567538,payment,Expenditures,2026-02-21,February,1500.0
220,119598,2025-2026,5THSFC/2025-26/P/40,567547,payment,Expenditures,2026-02-21,February,70000.0
221,119598,2025-2026,5THSFC/2025-26/P/41,567549,payment,Expenditures,2026-02-21,February,2164.0
222,119598,2025-2026,5THSFC/2025-26/P/42,567553,payment,Expenditures,2026-02-21,February,850.0
223,119598,2025-2026,5THSFC/2025-26/P/43,567558,payment,Expenditures,2026-02-21,February,120000.0
224,119598,2025-2026,5THSFC/2025-26/P/44,567560,payment,Expenditures,2026-02-21,February,6739.0
225,119598,2025-2026,5THSFC/2025-26/P/45,567563,payment,Expenditures,2026-02-21,February,1500.0
226,119598,2025-2026,5THSFC/2025-26/P/46,568062,payment,Expenditures,2026-02-21,February,21135.0
227,119598,2025-2026,5THSFC/2025-26/P/47,568112,payment,Expenditures,2026-02-21,February,50812.0
228,119598,2025-2026,5THSFC/2025-26/P/48,570644,payment,Expenditures,2026-02-22,February,19739.0
229,119598,2025-2026,XVFC/2025-26/P/160,570645,payment,Expenditures,2026-02-22,February,30000.0
230,119598,2025-2026,XVFC/2025-26/P/161,570647,payment,Expenditures,2026-02-22,February,35000.0
231,119598,2025-2026,XVFC/2025-26/P/162,570649,payment,Expenditures,2026-02-22,February,27000.0
232,119598,2025-2026,5THSFC/2025-26/P/49,594409,payment,Expenditures,2026-03-03,March,12683.0
233,119598,2025-2026,XVFC/2025-26/P/163,594309,payment,Expenditures,2026-03-03,March,12745.0
234,119598,2025-2026,XVFC/2025-26/P/164,594322,payment,Expenditures,2026-03-03,March,19155.0
235,119598,2025-2026,XVFC/2025-26/P/165,594476,payment,Expenditures,2026-03-03,March,4320.0
236,119598,2025-2026,XVFC/2025-26/P/166,594486,payment,Expenditures,2026-03-03,March,4420.0
237,119598,2025-2026,XVFC/2025-26/P/167,594493,payment,Expenditures,2026-03-03,March,4260.0
238,119598,2025-2026,5THSFC/2025-26/P/50,609241,payment,Expenditures,2026-03-10,March,4500.0
239,119598,2025-2026,5THSFC/2025-26/P/51,609316,payment,Expenditures,2026-03-10,March,25303.0
240,119598,2025-2026,5THSFC/2025-26/P/52,609442,payment,Expenditures,2026-03-10,March,19155.0
241,119598,2025-2026,5THSFC/2025-26/P/53,609488,payment,Expenditures,2026-03-10,March,11757.0
242,119598,2025-2026,5THSFC/2025-26/P/54,609525,payment,Expenditures,2026-03-10,March,19145.0
243,119598,2025-2026,5THSFC/2025-26/P/55,611980,payment,Expenditures,2026-03-10,March,165414.0
244,119598,2025-2026,5THSFC/2025-26/P/56,612009,payment,Expenditures,2026-03-10,March,9075.0
245,119598,2025-2026,5THSFC/2025-26/P/57,612026,payment,Expenditures,2026-03-10,March,2000.0
246,119598,2025-2026,5THSFC/2025-26/P/58,612154,payment,Expenditures,2026-03-10,March,69965.0
247,119598,2025-2026,5THSFC/2025-26/P/59,612180,payment,Expenditures,2026-03-10,March,2857.0
248,119598,2025-2026,5THSFC/2025-26/P/60,612200,payment,Expenditures,2026-03-10,March,750.0
249,119598,2025-2026,5THSFC/2025-26/P/61,612329,payment,Expenditures,2026-03-10,March,168000.0
250,119598,2025-2026,5THSFC/2025-26/P/62,612347,payment,Expenditures,2026-03-10,March,88080.0
251,119598,2025-2026,5THSFC/2025-26/P/63,612366,payment,Expenditures,2026-03-10,March,5000.0
252,119598,2025-2026,XVFC/2025-26/P/168,609916,payment,Expenditures,2026-03-10,March,7500.0
253,119598,2025-2026,XVFC/2025-26/P/169,609966,payment,Expenditures,2026-03-10,March,31500.0
254,119598,2025-2026,XVFC/2025-26/P/170,612075,payment,Expenditures,2026-03-10,March,120000.0
255,119598,2025-2026,XVFC/2025-26/P/171,612107,payment,Expenditures,2026-03-10,March,6773.0
256,119598,2025-2026,XVFC/2025-26/P/172,612119,payment,Expenditures,2026-03-10,March,1500.0
257,119598,2025-2026,XVFC/2025-26/P/173,612257,payment,Expenditures,2026-03-10,March,220000.0
258,119598,2025-2026,XVFC/2025-26/P/174,612281,payment,Expenditures,2026-03-10,March,10126.0
259,119598,2025-2026,XVFC/2025-26/P/175,612297,payment,Expenditures,2026-03-10,March,2706.0
260,119598,2025-2026,5THSFC/2025-26/P/64,658848,payment,Expenditures,2026-03-21,March,20000.0
261,119598,2025-2026,XVFC/2025-26/P/176,658874,payment,Expenditures,2026-03-21,March,19997.0
262,119598,2025-2026,XVFC/2025-26/P/177,658903,payment,Expenditures,2026-03-21,March,33556.0
263,119598,2025-2026,XVFC/2025-26/P/178,666245,payment,Expenditures,2026-03-23,March,9837.0
264,119598,2025-2026,XVFC/2025-26/P/179,666283,payment,Expenditures,2026-03-23,March,25733.0
265,119598,2025-2026,XVFC/2025-26/P/180,666305,payment,Expenditures,2026-03-23,March,13634.0
266,119598,2025-2026,XVFC/2025-26/P/181,666367,payment,Expenditures,2026-03-23,March,180000.0
267,119598,2025-2026,XVFC/2025-26/P/182,689278,payment,Expenditures,2026-03-27,March,50000.0
268,119598,2025-2026,XVFC/2025-26/P/183,689290,payment,Expenditures,2026-03-27,March,600.0
269,119598,2025-2026,XVFC/2025-26/P/184,689302,payment,Expenditures,2026-03-27,March,90000.0
270,119598,2025-2026,XVFC/2025-26/P/185,689331,payment,Expenditures,2026-03-27,March,85000.0
271,119598,2025-2026,XVFC/2025-26/P/186,689345,payment,Expenditures,2026-03-27,March,4592.0
272,119598,2025-2026,XVFC/2025-26/P/187,689367,payment,Expenditures,2026-03-27,March,180000.0
