activity_code,fund_scheme_code,fund_component_code,fund_tied_general,fund_tied_sc,fund_tied_st,fund_untied_general,fund_untied_sc,fund_untied_st,fund_amount_total,fund_tied_abandoned_general,fund_tied_abandoned_sc,fund_tied_abandoned_st,fund_untied_abandoned_general,fund_untied_abandoned_sc,fund_untied_abandoned_st,fund_overflow_json
61964671,1778.0,4250.0,0.0,0.0,0.0,400000.0,0.0,0.0,400000.0,,,,,,,
62161476,1769.0,4211.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,,,,,,,
64758356,1769.0,4249.0,51000.0,0.0,0.0,0.0,0.0,0.0,51000.0,,,,,,,
64758636,1769.0,4249.0,30000.0,0.0,0.0,0.0,0.0,0.0,30000.0,,,,,,,
64758673,1769.0,4249.0,60000.0,0.0,0.0,0.0,0.0,0.0,60000.0,,,,,,,
64759140,1769.0,4249.0,120000.0,0.0,0.0,0.0,0.0,0.0,120000.0,,,,,,,
75589882,1769.0,4249.0,140000.0,0.0,0.0,0.0,0.0,0.0,140000.0,,,,,,,
75591227,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,200000.0,,,,,,,
76025043,38.0,1.0,0.0,0.0,0.0,200000.0,0.0,0.0,200000.0,,,,,,,
76025799,38.0,1.0,0.0,0.0,0.0,200000.0,0.0,0.0,200000.0,,,,,,,
76026721,,,,,,,,,,,,,,,,
76027224,,,,,,,,,,,,,,,,
76027692,,,,,,,,,,,,,,,,
76028229,,,,,,,,,,,,,,,,
76028528,,,,,,,,,,,,,,,,
76029117,,,,,,,,,,,,,,,,
76029476,,,,,,,,,,,,,,,,
76029874,,,,,,,,,,,,,,,,
76710451,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
76718878,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
76753436,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
76754372,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
76759589,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
76760892,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
76761883,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
76763013,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
76763732,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
76764494,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
76765114,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
78557655,,,,,,,,,,,,,,,,
78559777,,,,,,,,,,,,,,,,
78561296,,,,,,,,,,,,,,,,
78562363,,,,,,,,,,,,,,,,
78563280,,,,,,,,,,,,,,,,
78565509,,,,,,,,,,,,,,,,
78567743,,,,,,,,,,,,,,,,
78873094,,,,,,,,,,,,,,,,
79730151,38.0,1.0,0.0,0.0,0.0,500000.0,0.0,0.0,500000.0,,,,,,,
79802769,,,,,,,,,,,,,,,,
79803596,,,,,,,,,,,,,,,,
79804316,,,,,,,,,,,,,,,,
79805043,,,,,,,,,,,,,,,,
79805600,,,,,,,,,,,,,,,,
79806074,,,,,,,,,,,,,,,,
79806737,,,,,,,,,,,,,,,,
79807154,,,,,,,,,,,,,,,,
79807722,,,,,,,,,,,,,,,,
79808215,,,,,,,,,,,,,,,,
79808646,,,,,,,,,,,,,,,,
79809028,,,,,,,,,,,,,,,,
79809429,,,,,,,,,,,,,,,,
79809822,,,,,,,,,,,,,,,,
79810215,,,,,,,,,,,,,,,,
79810587,,,,,,,,,,,,,,,,
79811191,,,,,,,,,,,,,,,,
79811598,,,,,,,,,,,,,,,,
79811961,,,,,,,,,,,,,,,,
79812482,,,,,,,,,,,,,,,,
79813189,38.0,1.0,0.0,0.0,0.0,300000.0,0.0,0.0,300000.0,,,,,,,
79813861,38.0,1.0,0.0,0.0,0.0,300000.0,0.0,0.0,300000.0,,,,,,,
79814679,38.0,1.0,0.0,0.0,0.0,500000.0,0.0,0.0,500000.0,,,,,,,
79815226,38.0,1.0,0.0,0.0,0.0,300000.0,0.0,0.0,300000.0,,,,,,,
79815943,,,,,,,,,,,,,,,,
79816609,,,,,,,,,,,,,,,,
79817215,,,,,,,,,,,,,,,,
79817814,,,,,,,,,,,,,,,,
79818216,,,,,,,,,,,,,,,,
79818643,,,,,,,,,,,,,,,,
79819095,,,,,,,,,,,,,,,,
79819427,,,,,,,,,,,,,,,,
79820071,,,,,,,,,,,,,,,,
79823925,,,,,,,,,,,,,,,,
79824531,,,,,,,,,,,,,,,,
79825066,,,,,,,,,,,,,,,,
79825554,,,,,,,,,,,,,,,,
79826063,,,,,,,,,,,,,,,,
79826570,,,,,,,,,,,,,,,,
79827060,,,,,,,,,,,,,,,,
79827963,,,,,,,,,,,,,,,,
79828496,,,,,,,,,,,,,,,,
79829120,,,,,,,,,,,,,,,,
79829817,,,,,,,,,,,,,,,,
79830399,,,,,,,,,,,,,,,,
79831060,,,,,,,,,,,,,,,,
79832370,,,,,,,,,,,,,,,,
79832967,,,,,,,,,,,,,,,,
79833576,,,,,,,,,,,,,,,,
79834201,,,,,,,,,,,,,,,,
79834714,,,,,,,,,,,,,,,,
79835408,,,,,,,,,,,,,,,,
79836002,,,,,,,,,,,,,,,,
79836516,,,,,,,,,,,,,,,,
79837037,,,,,,,,,,,,,,,,
79837530,,,,,,,,,,,,,,,,
79838088,,,,,,,,,,,,,,,,
79838552,,,,,,,,,,,,,,,,
79839887,,,,,,,,,,,,,,,,
79840522,,,,,,,,,,,,,,,,
79841122,,,,,,,,,,,,,,,,
79841945,,,,,,,,,,,,,,,,
79842465,,,,,,,,,,,,,,,,
79842944,,,,,,,,,,,,,,,,
79843490,,,,,,,,,,,,,,,,
79844128,,,,,,,,,,,,,,,,
80570969,38.0,1.0,0.0,0.0,0.0,200000.0,0.0,0.0,200000.0,,,,,,,
80572458,38.0,1.0,0.0,0.0,0.0,14000.0,0.0,0.0,14000.0,,,,,,,
80572758,38.0,1.0,0.0,0.0,0.0,14000.0,0.0,0.0,14000.0,,,,,,,
80572981,38.0,1.0,0.0,0.0,0.0,14000.0,0.0,0.0,14000.0,,,,,,,
80573709,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
80574276,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
80574635,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
80575177,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
80575505,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
80575847,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
80576371,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
80576787,1769.0,4249.0,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0,,,,,,,
