activity_code,is_delegated,delegated_unit_code,delegated_unit_type,delegated_unit_level,delegated_unit_category,is_shareable,delegated_parent_unit_code
82847548,,,,,,False,
82848050,,,,,,False,
82848492,,,,,,False,
82849013,,,,,,False,
82849591,,,,,,False,
82850100,,,,,,False,
82854313,,,,,,False,
82855060,,,,,,False,
82856129,,,,,,False,
82856804,,,,,,False,
82858974,,,,,,False,
82860681,,,,,,False,
82863014,,,,,,False,
82863341,,,,,,False,
82863764,,,,,,False,
82865214,,,,,,False,
99170258,,,,,,False,
127245884,,,,,,False,
128340982,,,,,,False,
81809079,,,,,,False,
81954553,,,,,,False,
81955225,,,,,,False,
81957492,,,,,,False,
82688276,,,,,,False,
82753880,,,,,,False,
82755183,,,,,,False,
82758183,,,,,,False,
127245789,,,,,,False,
128251100,,,,,,False,
128340688,,,,,,False,
81956350,,,,,,False,
82716369,,,,,,False,
82753455,,,,,,False,
128251061,,,,,,False,
98422720,,,,,,False,
98425797,,,,,,False,
98430111,,,,,,False,
98709086,,,,,,False,
98709782,,,,,,False,
98711268,,,,,,False,
98712559,,,,,,False,
98713514,,,,,,False,
98714237,,,,,,False,
98821199,,,,,,False,
98862927,,,,,,False,
98867753,,,,,,False,
98868735,,,,,,False,
98877149,,,,,,False,
98907959,,,,,,False,
98908373,,,,,,False,
98908854,,,,,,False,
98928593,,,,,,False,
98928912,,,,,,False,
98960870,,,,,,False,
98961370,,,,,,False,
98961695,,,,,,False,
98962460,,,,,,False,
98999190,,,,,,False,
99000124,,,,,,False,
99000859,,,,,,False,
99003684,,,,,,False,
99047624,,,,,,False,
99048588,,,,,,False,
99091690,,,,,,False,
99091819,,,,,,False,
99092203,,,,,,False,
99092469,,,,,,False,
99092851,,,,,,False,
99093066,,,,,,False,
99093182,,,,,,False,
99093383,,,,,,False,
99093559,,,,,,False,
99093727,,,,,,False,
99094346,,,,,,False,
99100599,,,,,,False,
99101094,,,,,,False,
99101505,,,,,,False,
99101653,,,,,,False,
99101797,,,,,,False,
99102108,,,,,,False,
99102280,,,,,,False,
99102767,,,,,,False,
99103410,,,,,,False,
99103562,,,,,,False,
99103744,,,,,,False,
99104582,,,,,,False,
99114129,,,,,,False,
99114350,,,,,,False,
99114616,,,,,,False,
99114858,,,,,,False,
99115123,,,,,,False,
99117034,,,,,,False,
99117043,,,,,,False,
99117399,,,,,,False,
99117448,,,,,,False,
99117836,,,,,,False,
99118546,,,,,,False,
99118774,,,,,,False,
99119062,,,,,,False,
99119264,,,,,,False,
99119487,,,,,,False,
99123094,,,,,,False,
99123602,,,,,,False,
99123643,,,,,,False,
99124178,,,,,,False,
99124607,,,,,,False,
99126974,,,,,,False,
99127279,,,,,,False,
99127497,,,,,,False,
99129574,,,,,,False,
99129919,,,,,,False,
99130444,,,,,,False,
99130651,,,,,,False,
99130848,,,,,,False,
99130880,,,,,,False,
99131172,,,,,,False,
99131233,,,,,,False,
99131586,,,,,,False,
99132114,,,,,,False,
99132163,,,,,,False,
99132389,,,,,,False,
99132745,,,,,,False,
99133081,,,,,,False,
99134131,,,,,,False,
99134395,,,,,,False,
99134687,,,,,,False,
99134957,,,,,,False,
99136943,,,,,,False,
99137203,,,,,,False,
99137546,,,,,,False,
99137881,,,,,,False,
99138141,,,,,,False,
99138474,,,,,,False,
99138729,,,,,,False,
99139067,,,,,,False,
99139244,,,,,,False,
99140345,,,,,,False,
99140612,,,,,,False,
99140843,,,,,,False,
99141059,,,,,,False,
99141307,,,,,,False,
99141563,,,,,,False,
99141860,,,,,,False,
99142802,,,,,,False,
99143047,,,,,,False,
99143316,,,,,,False,
99143570,,,,,,False,
99143848,,,,,,False,
99147941,,,,,,False,
99148270,,,,,,False,
99148510,,,,,,False,
99148796,,,,,,False,
99149143,,,,,,False,
99149353,,,,,,False,
99149579,,,,,,False,
99149822,,,,,,False,
99150102,,,,,,False,
99150325,,,,,,False,
99151305,,,,,,False,
99151583,,,,,,False,
99151786,,,,,,False,
99153463,,,,,,False,
99153690,,,,,,False,
99153897,,,,,,False,
99154112,,,,,,False,
99154268,,,,,,False,
99154396,,,,,,False,
99154602,,,,,,False,
99154844,,,,,,False,
99155061,,,,,,False,
99155406,,,,,,False,
99155688,,,,,,False,
99155909,,,,,,False,
99156222,,,,,,False,
99157000,,,,,,False,
99157309,,,,,,False,
99157528,,,,,,False,
99157709,,,,,,False,
99157734,,,,,,False,
99158041,,,,,,False,
99158262,,,,,,False,
99158476,,,,,,False,
99158485,,,,,,False,
99158762,,,,,,False,
99159409,,,,,,False,
99161020,,,,,,False,
99165245,,,,,,False,
99166065,,,,,,False,
99166514,,,,,,False,
99166568,,,,,,False,
99166738,,,,,,False,
99167524,,,,,,False,
99168155,,,,,,False,
99168686,,,,,,False,
99169405,,,,,,False,
99170001,,,,,,False,
99170025,,,,,,False,
99170505,,,,,,False,
99171004,,,,,,False,
99171437,,,,,,False,
99172128,,,,,,False,
99172165,,,,,,False,
99173351,,,,,,False,
99173354,,,,,,False,
99174043,,,,,,False,
99174123,,,,,,False,
99174719,,,,,,False,
99175277,,,,,,False,
99175437,,,,,,False,
99175723,,,,,,False,
99175870,,,,,,False,
99296131,,,,,,False,
99296321,,,,,,False,
99296634,,,,,,False,
99297022,,,,,,False,
99297265,,,,,,False,
99297462,,,,,,False,
99297803,,,,,,False,
99298148,,,,,,False,
99298421,,,,,,False,
99298687,,,,,,False,
99299128,,,,,,False,
99299331,,,,,,False,
99299507,,,,,,False,
99299685,,,,,,False,
99300423,,,,,,False,
99300642,,,,,,False,
99300892,,,,,,False,
99301048,,,,,,False,
99301402,,,,,,False,
99301553,,,,,,False,
99301716,,,,,,False,
99301852,,,,,,False,
99302032,,,,,,False,
105401496,,,,,,False,
105407992,,,,,,False,
105408347,,,,,,False,
105423899,,,,,,False,
105424779,,,,,,False,
105426088,,,,,,False,
105426514,,,,,,False,
105426875,,,,,,False,
105430118,,,,,,False,
105430373,,,,,,False,
105430924,,,,,,False,
105431441,,,,,,False,
105431625,,,,,,False,
105432042,,,,,,False,
105432466,,,,,,False,
105446740,,,,,,False,
128250807,,,,,,False,
128250915,,,,,,False,
128251376,,,,,,False,
105399201,,,,,,False,
105399843,,,,,,False,
105404519,,,,,,False,
105407657,,,,,,False,
105410403,,,,,,False,
105418828,,,,,,False,
105419399,,,,,,False,
105419843,,,,,,False,
105433602,,,,,,False,
105439238,,,,,,False,
105440256,,,,,,False,
105444928,,,,,,False,
105446314,,,,,,False,
105408633,,,,,,False,
114767147,,,,,,False,
114806516,,,,,,False,
117510409,,,,,,False,
117511439,,,,,,False,
117511873,,,,,,False,
117512223,,,,,,False,
117512869,,,,,,False,
117513183,,,,,,False,
117513478,,,,,,False,
117513812,,,,,,False,
117517849,,,,,,False,
117518728,,,,,,False,
117520150,,,,,,False,
117520529,,,,,,False,
117521031,,,,,,False,
117521549,,,,,,False,
118083720,,,,,,False,
118084245,,,,,,False,
118084694,,,,,,False,
118085954,,,,,,False,
118086239,,,,,,False,
118086854,,,,,,False,
118089139,,,,,,False,
118090284,,,,,,False,
