activity_code,community_service_raw,community_service_code,community_service_duration,community_beneficiaries_expected
99130880,,,,
99131172,,,,
99131233,,,,
99131586,,,,
99132114,,,,
99132163,,,,
99132389,,,,
99132745,,,,
99133081,,,,
99134131,,,,
99134395,,,,
99134687,,,,
99134957,,,,
99136943,,,,
99137203,,,,
99137546,,,,
99137881,,,,
99138141,,,,
99138474,,,,
99138729,,,,
99139067,,,,
99139244,,,,
99140345,,,,
99140612,,,,
99140843,,,,
99141059,,,,
99141307,,,,
99141563,,,,
99141860,,,,
99142802,,,,
99143047,,,,
99143316,,,,
99143570,,,,
99143848,,,,
99147941,,,,
99148270,,,,
99148510,,,,
99148796,,,,
99149143,,,,
99149353,,,,
99149579,,,,
99149822,,,,
99150102,,,,
99150325,,,,
99151305,,,,
99151583,,,,
99151786,,,,
99153463,,,,
99153690,,,,
99153897,,,,
99154112,,,,
99154268,,,,
99154396,,,,
99154602,,,,
99154844,,,,
99155061,,,,
99155406,,,,
99155688,,,,
99155909,,,,
99156222,,,,
99157000,,,,
99157309,,,,
99157528,,,,
99157709,,,,
99157734,,,,
99158041,,,,
99158262,,,,
99158476,,,,
99158485,,,,
99158762,,,,
99159409,,,,
99161020,,,,
99165245,,,,
99166065,,,,
99166514,,,,
99166568,,,,
99166738,,,,
99167524,,,,
99168155,,,,
99168686,,,,
99169405,,,,
99170001,,,,
99170025,,,,
99170505,,,,
99171004,,,,
99171437,,,,
99172128,,,,
99172165,,,,
99173351,,,,
99173354,,,,
99174043,,,,
99174123,,,,
99174719,,,,
99175277,,,,
99175437,,,,
99175723,,,,
99175870,,,,
99296131,,,,
99296321,,,,
99296634,,,,
99297022,,,,
99297265,,,,
99297462,,,,
99297803,,,,
99298148,,,,
99298421,,,,
99298687,,,,
99299128,,,,
99299331,,,,
99299507,,,,
99299685,,,,
99300423,,,,
99300642,,,,
99300892,,,,
99301048,,,,
99301402,,,,
99301553,,,,
99301716,,,,
99301852,,,,
99302032,,,,
105401496,,,,
105407992,,,,
105408347,,,,
105423899,,,,
105424779,,,,
105426088,,,,
105426514,,,,
105426875,,,,
105430118,,,,
105430373,,,,
105430924,,,,
105431441,,,,
105431625,,,,
105432042,,,,
105432466,,657.0,2.0,100.0
105446740,,,,
128250807,,,,
128250915,,,,
128251376,,657.0,1.0,400.0
105399201,,,,
105399843,,,,
105404519,,,,
105407657,,,,
105410403,,,,
105418828,,,,
105419399,,,,
105419843,,,,
105433602,,,,
105439238,,,,
105440256,,,,
105444928,,,,
105446314,,,,
105408633,,,,
114767147,,,,
114806516,,,,
117510409,,,,
117511439,,,,
117511873,,,,
117512223,,,,
117512869,,,,
117513183,,,,
117513478,,,,
117513812,,,,
117517849,,,,
117518728,,,,
117520150,,,,
117520529,,,,
117521031,,,,
117521549,,,,
118083720,,,,
118084245,,,,
118084694,,,,
118085954,,,,
118086239,,,,
118086854,,,,
118089139,,,,
118090284,,,,
118091579,,,,
118091935,,,,
118092244,,,,
118092603,,,,
118093154,,,,
118093720,,,,
118107403,,,,
118107609,,657.0,30.0,3858.0
118107700,,657.0,30.0,3858.0
118107770,,657.0,30.0,3858.0
